"stream_ID","year","month","day","Value","q_mm","q_ML_day","q_mm_5th_root"
"FLOW_236212",1975,1,24,0.226,0.087562331838565,19.5264,0.614417339888596
"FLOW_236212",1975,1,25,0.223,0.0864,19.2672,0.612777412560081
"FLOW_236212",1975,1,26,0.231,0.0894995515695067,19.9584,0.617112256241769
"FLOW_236212",1975,1,27,0.28,0.108484304932735,24.192,0.641317930058964
"FLOW_236212",1975,1,28,0.262,0.101510313901345,22.6368,0.632851821072446
"FLOW_236212",1975,1,29,0.243,0.0941488789237668,20.9952,0.623394592271931
"FLOW_236212",1975,1,30,0.218,0.0844627802690583,18.8352,0.610004550279122
"FLOW_236212",1975,1,31,0.189,0.0732269058295964,16.3296,0.592835410830815
"FLOW_236212",1975,2,1,0.181,0.0701273542600897,15.6384,0.587729501335287
"FLOW_236212",1975,2,2,0.17,0.065865470852018,14.688,0.580405554719073
"FLOW_236212",1975,2,3,0.191,0.0740017937219731,16.5024,0.594084811613753
"FLOW_236212",1975,2,4,0.19,0.0736143497757848,16.416,0.59346142638756
"FLOW_236212",1975,2,5,0.178,0.0689650224215247,15.3792,0.585768180044495
"FLOW_236212",1975,2,6,0.173,0.067027802690583,14.9472,0.582439736220287
"FLOW_236212",1975,2,7,0.159,0.0616035874439462,13.7376,0.57269211116906
"FLOW_236212",1975,2,8,0.143,0.0554044843049327,12.3552,0.560672149028315
"FLOW_236212",1975,2,9,0.166,0.0643156950672646,14.3424,0.577648158915681
"FLOW_236212",1975,2,10,0.159,0.0616035874439462,13.7376,0.57269211116906
"FLOW_236212",1975,2,11,0.133,0.0515300448430493,11.4912,0.552601556792838
"FLOW_236212",1975,2,12,0.137,0.0530798206278027,11.8368,0.555886195652285
"FLOW_236212",1975,2,13,0.157,0.0608286995515695,13.5648,0.571244072122056
"FLOW_236212",1975,2,14,0.152,0.0588914798206278,13.1328,0.567558318654704
"FLOW_236212",1975,2,15,0.139,0.0538547085201794,12.0096,0.557499825696288
"FLOW_236212",1975,2,16,0.156,0.0604412556053812,13.4784,0.570514511538635
"FLOW_236212",1975,2,17,0.169,0.0654780269058296,14.6016,0.579721112301707
"FLOW_236212",1975,2,18,0.135,0.052304932735426,11.664,0.554253608870373
"FLOW_236212",1975,2,19,0.133,0.0515300448430493,11.4912,0.552601556792838
"FLOW_236212",1975,2,20,0.139,0.0538547085201794,12.0096,0.557499825696288
"FLOW_236212",1975,2,21,0.125,0.0484304932735426,10.8,0.545787743239059
"FLOW_236212",1975,2,22,0.136,0.0526923766816144,11.7504,0.555072303147609
"FLOW_236212",1975,2,23,0.138,0.053467264573991,11.9232,0.556695349290657
"FLOW_236212",1975,2,24,0.137,0.0530798206278027,11.8368,0.555886195652285
"FLOW_236212",1975,2,25,0.119,0.0461058295964126,10.2816,0.540444582997237
"FLOW_236212",1975,2,26,0.114,0.0441686098654709,9.8496,0.535824720573439
"FLOW_236212",1975,2,27,0.127,0.0492053811659193,10.9728,0.547523192403278
"FLOW_236212",1975,2,28,0.13,0.0503677130044843,11.232,0.550085815450272
"FLOW_236212",1975,3,1,0.123,0.0476556053811659,10.6272,0.544029936204842
