Bore_ID,year,month,day,RSWL_from_SWL
bore_WRK961325,2003,11,11,37.18
bore_WRK961325,2003,12,11,37.13
bore_WRK961325,2004,1,22,37.01
bore_WRK961325,2004,2,26,36.94
bore_WRK961325,2004,3,30,36.91
bore_WRK961325,2004,4,22,36.92
bore_WRK961325,2004,5,12,36.95
bore_WRK961325,2004,6,8,36.94
bore_WRK961325,2004,7,12,37.08
bore_WRK961325,2004,8,25,37.3
bore_WRK961325,2004,9,23,37.42
bore_WRK961325,2004,10,27,37.35
bore_WRK961325,2004,11,24,37.36
bore_WRK961325,2004,12,8,37.32
bore_WRK961325,2005,1,26,37.16
bore_WRK961325,2005,2,21,37.09
bore_WRK961325,2005,3,23,37.14
bore_WRK961325,2005,4,14,37.09
bore_WRK961325,2005,5,25,37.09
bore_WRK961325,2005,6,29,37.09
bore_WRK961325,2005,7,26,37.12
bore_WRK961325,2005,8,30,37.21
bore_WRK961325,2005,9,26,37.23
bore_WRK961325,2005,10,20,37.25
bore_WRK961325,2005,11,22,37.21
bore_WRK961325,2005,12,13,37.18
bore_WRK961325,2006,1,24,37.04
bore_WRK961325,2006,2,24,37.01
bore_WRK961325,2006,3,28,36.96
bore_WRK961325,2006,4,22,36.95
bore_WRK961325,2006,5,24,37
bore_WRK961325,2006,6,16,37.02
bore_WRK961325,2006,7,29,37.05
bore_WRK961325,2006,8,14,37.07
bore_WRK961325,2006,9,23,37.06
bore_WRK961325,2006,10,22,37.02
bore_WRK961325,2006,11,9,36.97
bore_WRK961325,2006,12,18,36.88
bore_WRK961325,2007,1,21,36.87
bore_WRK961325,2007,2,14,36.84
bore_WRK961325,2007,3,23,36.78
bore_WRK961325,2007,4,25,36.78
bore_WRK961325,2007,5,9,36.8
bore_WRK961325,2007,6,11,36.83
bore_WRK961325,2007,7,14,36.93
bore_WRK961325,2007,8,14,37.06
bore_WRK961325,2007,9,12,37.1
bore_WRK961325,2007,10,10,37.16
bore_WRK961325,2007,11,14,37.14
bore_WRK961325,2007,12,19,37.04
bore_WRK961325,2008,1,17,36.98
bore_WRK961325,2008,2,12,36.96
bore_WRK961325,2008,3,13,36.91
bore_WRK961325,2008,4,17,36.87
bore_WRK961325,2008,5,14,36.89
bore_WRK961325,2008,6,13,36.89
bore_WRK961325,2008,7,10,36.97
bore_WRK961325,2008,8,11,37.06
bore_WRK961325,2008,9,10,37.22
bore_WRK961325,2008,10,13,37.24
bore_WRK961325,2008,11,12,37.22
bore_WRK961325,2008,12,11,37.18
bore_WRK961325,2009,1,13,37.16
bore_WRK961325,2009,2,11,37.04
bore_WRK961325,2009,3,10,37
bore_WRK961325,2009,4,15,36.95
bore_WRK961325,2009,5,15,36.99
bore_WRK961325,2009,6,11,37.03
bore_WRK961325,2009,7,17,37.11
bore_WRK961325,2009,8,12,37.18
bore_WRK961325,2009,9,10,37.3
bore_WRK961325,2009,10,16,37.35
bore_WRK961325,2009,11,13,37.35
bore_WRK961325,2009,12,17,37.29
bore_WRK961325,2010,1,19,37.2
bore_WRK961325,2010,2,10,37.15
bore_WRK961325,2010,3,17,37.11
bore_WRK961325,2010,4,16,37.09
bore_WRK961325,2010,5,20,37.14
bore_WRK961325,2010,6,18,37.16
bore_WRK961325,2010,7,21,37.12
bore_WRK961325,2010,8,12,37.17
bore_WRK961325,2010,9,22,37.38
bore_WRK961325,2010,10,22,37.42
bore_WRK961325,2010,11,9,37.41
bore_WRK961325,2010,12,16,37.42
bore_WRK961325,2011,1,19,37.41
bore_WRK961325,2011,2,11,37.4
bore_WRK961325,2011,3,10,37.36
bore_WRK961325,2011,4,12,37.35
bore_WRK961325,2011,5,10,37.42
bore_WRK961325,2011,6,16,37.47
bore_WRK961325,2011,7,13,37.55
bore_WRK961325,2011,8,24,37.62
bore_WRK961325,2011,9,30,37.61
bore_WRK961325,2011,10,24,37.57
bore_WRK961325,2011,11,22,37.54
bore_WRK961325,2011,12,20,37.46
bore_WRK961325,2012,1,23,37.4
bore_WRK961325,2012,2,28,37.32
bore_WRK961325,2012,3,29,37.3
bore_WRK961325,2012,4,24,37.29
bore_WRK961325,2012,5,22,37.27
bore_WRK961325,2012,6,25,37.27
bore_WRK961325,2012,7,26,37.45
bore_WRK961325,2012,8,27,37.45
bore_WRK961325,2012,9,28,37.4
bore_WRK961325,2012,10,26,37.5
bore_WRK961325,2012,11,27,37.44
bore_WRK961325,2012,12,28,37.39
bore_WRK961325,2013,1,23,37.29
bore_WRK961325,2013,2,27,37.24
bore_WRK961325,2013,3,25,37.2
bore_WRK961325,2013,4,25,37.17
bore_WRK961325,2013,5,27,37.23
bore_WRK961325,2013,6,24,37.26
bore_WRK961325,2013,7,26,37.25
bore_WRK961325,2013,8,29,37.47
bore_WRK961325,2013,9,26,37.44
bore_WRK961325,2013,10,24,37.48
bore_WRK961325,2013,11,26,37.55
bore_WRK961325,2013,12,23,37.5
bore_WRK961325,2014,1,31,37.4
bore_WRK961325,2014,2,26,37.33
bore_WRK961325,2014,3,26,37.3
bore_WRK961325,2014,4,22,37.29
bore_WRK961325,2014,5,28,37.3
bore_WRK961325,2014,6,23,37.35
bore_WRK961325,2014,7,22,37.46
bore_WRK961325,2014,8,28,37.56
bore_WRK961325,2014,9,23,37.57
bore_WRK961325,2014,10,31,37.52
bore_WRK961325,2014,11,26,37.54
bore_WRK961325,2014,12,22,37.4
bore_WRK961325,2015,1,27,37.34
bore_WRK961325,2015,2,23,37.29
bore_WRK961325,2015,3,24,37.26
bore_WRK961325,2015,4,27,37.24
bore_WRK961325,2015,5,25,37.26
bore_WRK961325,2015,6,24,37.26
bore_WRK961325,2015,7,27,37.26
bore_WRK961325,2015,8,25,37.34
bore_WRK961325,2015,9,25,37.36
bore_WRK961325,2015,10,29,37.31
bore_WRK961325,2015,11,26,37.23
bore_WRK961325,2015,12,21,37.2
bore_WRK961325,2016,1,29,37.14
bore_WRK961325,2016,2,25,37.13
bore_WRK961325,2016,3,23,37.07
bore_WRK961325,2016,4,29,37.06
bore_WRK961325,2016,5,24,37.04
bore_WRK961325,2016,6,27,37.17
