"stream_ID","year","month","day","Value","q_mm","q_ML_day","q_mm_5th_root"
"FLOW_405245",1970,7,14,0.287,0.215624347826087,24.7968,0.735765736914182
"FLOW_405245",1970,7,15,0.248,0.18632347826087,21.4272,0.714584376384173
"FLOW_405245",1970,7,16,0.228,0.171297391304348,19.6992,0.702667957798745
"FLOW_405245",1970,7,17,0.468,0.351610434782609,40.4352,0.811357679361087
"FLOW_405245",1970,7,18,0.759,0.57024,65.5776,0.893740699816349
"FLOW_405245",1970,7,19,1.651,1.24040347826087,142.6464,1.0440290789542
"FLOW_405245",1970,7,20,1.493,1.12169739130435,128.9952,1.02323442298979
"FLOW_405245",1970,7,21,1.163,0.873766956521739,100.4832,0.973372614534944
"FLOW_405245",1970,7,22,2.195,1.64911304347826,189.648,1.10522343571348
"FLOW_405245",1970,7,23,1.452,1.09089391304348,125.4528,1.01755174570361
"FLOW_405245",1970,7,24,0.697,0.523659130434783,60.2208,0.878637502334985
"FLOW_405245",1970,7,25,0.393,0.295262608695652,33.9552,0.783504852428625
"FLOW_405245",1970,7,26,0.316,0.237412173913044,27.3024,0.750067929722678
"FLOW_405245",1970,7,27,0.272,0.204354782608696,23.5008,0.727908785667755
"FLOW_405245",1970,7,28,0.233,0.175053913043478,20.1312,0.705723151137405
"FLOW_405245",1970,7,29,0.217,0.163033043478261,18.7488,0.695753063378098
"FLOW_405245",1970,7,30,0.203,0.152514782608696,17.5392,0.686534534067139
"FLOW_405245",1970,7,31,0.193,0.145001739130435,16.6752,0.679633288070584
"FLOW_405245",1970,8,1,1.079,0.810657391304348,93.2256,0.958887085206618
"FLOW_405245",1970,8,2,2.248,1.68893217391304,194.2272,1.11050991852312
"FLOW_405245",1970,8,3,0.743,0.558219130434783,64.1952,0.88994044220712
"FLOW_405245",1970,8,4,0.896,0.673168695652174,77.4144,0.923899606966878
"FLOW_405245",1970,8,5,0.516,0.387673043478261,44.5824,0.827357333525165
"FLOW_405245",1970,8,6,0.544,0.408709565217391,47.0016,0.83614762468444
"FLOW_405245",1970,8,7,0.326,0.244925217391304,28.1664,0.754756219438433
"FLOW_405245",1970,8,8,0.235,0.17655652173913,20.304,0.70693055452326
"FLOW_405245",1970,8,9,0.209,0.157022608695652,18.0576,0.690545719669534
"FLOW_405245",1970,8,10,0.199,0.149509565217391,17.1936,0.683807399039643
"FLOW_405245",1970,8,11,0.262,0.196841739130435,22.6368,0.722476023108759
"FLOW_405245",1970,8,12,0.283,0.212619130434783,24.4512,0.733703291740519
"FLOW_405245",1970,8,13,0.34,0.25544347826087,29.376,0.761130216972889
"FLOW_405245",1970,8,14,0.383,0.287749565217391,33.0912,0.779476336308607
"FLOW_405245",1970,8,15,0.471,0.353864347826087,40.6944,0.812395224541702
"FLOW_405245",1970,8,16,3.21,2.41168695652174,277.344,1.19251592372264
"FLOW_405245",1970,8,17,6.773,5.08858434782609,585.1872,1.38458427695122
"FLOW_405245",1970,8,18,2.12,1.5927652173913,183.168,1.09756526067192
"FLOW_405245",1970,8,19,0.669,0.502622608695652,57.8016,0.871461898626868
"FLOW_405245",1970,8,20,0.432,0.32456347826087,37.3248,0.798472438386729
"FLOW_405245",1970,8,21,0.332,0.249433043478261,28.6848,0.757514232857898
"FLOW_405245",1970,8,22,0.258,0.19383652173913,22.2912,0.720256392747512
"FLOW_405245",1970,8,23,17.139,12.8766052173913,1480.8096,1.6670947206354
"FLOW_405245",1970,8,24,30.911,23.2235686956522,2670.7104,1.87579680348706
"FLOW_405245",1970,8,25,7.666,5.75949913043478,662.3424,1.41930895660316
"FLOW_405245",1970,8,26,7.379,5.5438747826087,637.5456,1.40851891173294
"FLOW_405245",1970,8,27,13.19,9.90970434782609,1139.616,1.58202061911513
"FLOW_405245",1970,8,28,9.318,7.00065391304348,805.0752,1.47580073277346
"FLOW_405245",1970,8,29,8.864,6.65956173913044,765.8496,1.46113091544162
"FLOW_405245",1970,8,30,7.554,5.67535304347826,652.6656,1.41513729456214
"FLOW_405245",1970,8,31,4.479,3.36509217391304,386.9856,1.27467477919802
"FLOW_405245",1970,9,1,2.355,1.76932173913043,203.472,1.12088578812963
"FLOW_405245",1970,9,2,1.42,1.06685217391304,122.688,1.01302660025577
"FLOW_405245",1970,9,3,0.823,0.61832347826087,71.1072,0.908328931906958
"FLOW_405245",1970,9,4,0.525,0.394434782608696,45.36,0.830223536150325
"FLOW_405245",1970,9,5,0.719,0.540187826086956,62.1216,0.884115406290655
"FLOW_405245",1970,9,6,0.534,0.401196521739131,46.1376,0.833050696506751
"FLOW_405245",1970,9,7,0.357,0.268215652173913,30.8448,0.768593705883701
"FLOW_405245",1970,9,8,0.321,0.241168695652174,27.7344,0.752426680482381
"FLOW_405245",1970,9,9,2.034,1.52815304347826,175.7376,1.0885123734005
"FLOW_405245",1970,9,10,1.163,0.873766956521739,100.4832,0.973372614534944
"FLOW_405245",1970,9,11,0.828,0.62208,71.5392,0.909429939906239
"FLOW_405245",1970,9,12,0.538,0.404201739130435,46.4832,0.834294989876174
"FLOW_405245",1970,9,13,0.475,0.356869565217391,41.04,0.813770425348144
"FLOW_405245",1970,9,14,0.521,0.391429565217391,45.0144,0.828954560348553
"FLOW_405245",1970,9,15,1.739,1.30651826086957,150.2496,1.05492867347695
"FLOW_405245",1970,9,16,1.164,0.874518260869565,100.5696,0.973539946952352
"FLOW_405245",1970,9,17,0.726,0.545446956521739,62.7264,0.885830245405236
"FLOW_405245",1970,9,18,0.668,0.501871304347826,57.7152,0.871201215990132
"FLOW_405245",1970,9,19,0.442,0.33207652173913,38.1888,0.802135309794861
"FLOW_405245",1970,9,20,0.21,0.157773913043478,18.144,0.691205267882478
"FLOW_405245",1970,9,21,0.085,0.0638608695652174,7.344,0.57682883956873
"FLOW_405245",1970,9,22,0.206,0.154768695652174,17.7984,0.688551810379245
"FLOW_405245",1970,9,23,0.673,0.505627826086957,58.1472,0.872501522101506
"FLOW_405245",1970,9,24,0.267,0.200598260869565,23.0688,0.72521275309818
"FLOW_405245",1970,9,25,0.168,0.126219130434783,14.5152,0.66103588580745
"FLOW_405245",1970,9,26,0.142,0.106685217391304,12.2688,0.639176573585179
"FLOW_405245",1970,9,27,0.131,0.0984208695652174,11.3184,0.628951908885274
"FLOW_405245",1970,9,28,0.142,0.106685217391304,12.2688,0.639176573585179
"FLOW_405245",1970,9,29,0.203,0.152514782608696,17.5392,0.686534534067139
"FLOW_405245",1970,9,30,0.178,0.133732173913043,15.3792,0.668724417139277
"FLOW_405245",1970,10,1,0.156,0.11720347826087,13.4784,0.651310530676476
"FLOW_405245",1970,10,2,0.149,0.111944347826087,12.8736,0.645357607806854
"FLOW_405245",1970,10,3,0.129,0.0969182608695652,11.1456,0.627019608423981
"FLOW_405245",1970,10,4,0.116,0.0871513043478261,10.0224,0.613839424848717
"FLOW_405245",1970,10,5,0.092,0.06912,7.9488,0.586031210316704
"FLOW_405245",1970,10,6,0.078,0.0586017391304348,6.7392,0.566998749361104
"FLOW_405245",1970,10,7,0.077,0.0578504347826087,6.6528,0.565537392938607
"FLOW_405245",1970,10,8,0.078,0.0586017391304348,6.7392,0.566998749361104
"FLOW_405245",1970,10,9,0.08,0.060104347826087,6.912,0.569877063564554
"FLOW_405245",1970,10,10,0.076,0.0570991304347826,6.5664,0.564060773842236
"FLOW_405245",1970,10,11,0.071,0.0533426086956522,6.1344,0.556435526180264
"FLOW_405245",1970,10,12,0.068,0.0510886956521739,5.8752,0.551651702672541
"FLOW_405245",1970,10,13,0.065,0.0488347826086957,5.616,0.54669594391284
"FLOW_405245",1970,10,14,0.074,0.0555965217391304,6.3936,0.561060280328361
"FLOW_405245",1970,10,15,0.069,0.05184,5.9616,0.553264746889037
"FLOW_405245",1970,10,16,0.066,0.0495860869565217,5.7024,0.548367828175991
"FLOW_405245",1970,10,17,0.061,0.0458295652173913,5.2704,0.539795360398896
