Bore_ID,year,month,day,RSWL_from_SWL
bore_118946,1991,1,15,320.79
bore_118946,1991,1,23,320.79
bore_118946,1991,2,26,321.49
bore_118946,1991,3,23,321.64
bore_118946,1991,4,24,321.54
bore_118946,1991,5,20,321.54
bore_118946,1991,6,21,321.79
bore_118946,1991,7,15,322.44
bore_118946,1991,8,15,322.64
bore_118946,1991,9,18,322.89
bore_118946,1991,10,15,322.29
bore_118946,1991,11,21,322.09
bore_118946,1991,12,20,321.59
bore_118946,1992,1,22,321.29
bore_118946,1992,2,20,321.29
bore_118946,1992,3,25,321.19
bore_118946,1992,4,20,321.29
bore_118946,1992,5,19,321.29
bore_118946,1992,6,20,321.49
bore_118946,1992,7,19,321.79
bore_118946,1992,8,13,322.09
bore_118946,1992,9,20,322.29
bore_118946,1992,10,18,322.54
bore_118946,1992,11,21,322.69
bore_118946,1992,12,21,322.74
bore_118946,1993,1,20,322.59
bore_118946,1993,2,22,322.39
bore_118946,1993,3,18,322.49
bore_118946,1993,4,15,322.59
bore_118946,1993,5,20,322.69
bore_118946,1993,6,21,322.79
bore_118946,1993,7,22,322.84
bore_118946,1993,8,19,322.99
bore_118946,1993,9,20,323.04
bore_118946,1993,10,17,323.09
bore_118946,1993,11,19,322.94
bore_118946,1993,12,20,322.89
bore_118946,1994,1,19,322.84
bore_118946,1994,2,20,322.79
bore_118946,1994,3,22,322.74
bore_118946,1994,4,17,322.69
bore_118946,1994,5,23,322.69
bore_118946,2001,7,11,320.59
bore_118946,2001,9,3,320.94
bore_118946,2001,9,27,321.11
bore_118946,2001,10,30,321.48
bore_118946,2001,11,22,321.42
bore_118946,2002,1,2,321.14
bore_118946,2002,2,1,320.84
bore_118946,2002,2,2,320.84
bore_118946,2002,3,8,320.53
bore_118946,2002,4,3,320.42
bore_118946,2002,5,8,320.3
bore_118946,2002,6,5,320.31
bore_118946,2002,7,30,320.43
bore_118946,2002,9,10,320.44
bore_118946,2002,10,3,320.48
bore_118946,2002,11,11,320.27
bore_118946,2002,12,11,320.19
bore_118946,2003,3,3,319.59
bore_118946,2003,4,7,319.38
bore_118946,2003,5,20,319.58
bore_118946,2003,7,2,320.4
bore_118946,2003,7,21,319.82
bore_118946,2003,8,26,320.46
bore_118946,2003,10,7,320.9
bore_118946,2003,11,11,320.99
bore_118946,2003,12,1,320.94
bore_118946,2004,2,9,320.55
bore_118946,2004,3,15,320.26
bore_118946,2004,4,7,320.17
bore_118946,2004,6,1,320.14
bore_118946,2004,8,3,320.45
bore_118946,2004,9,6,320.68
bore_118946,2004,10,11,321.09
bore_118946,2004,12,15,321.26
bore_118946,2005,1,10,321.04
bore_118946,2005,5,1,320.69
bore_118946,2005,6,8,320.62
bore_118946,2005,7,13,320.81
bore_118946,2005,8,9,320.98
bore_118946,2005,9,14,321.51
bore_118946,2005,11,21,321.69
bore_118946,2006,1,12,321.34
bore_118946,2006,2,1,320.77
bore_118946,2006,3,22,320.65
bore_118946,2006,4,27,320.54
bore_118946,2006,5,12,320.44
bore_118946,2006,6,21,320.49
bore_118946,2006,6,30,320.54
bore_118946,2006,8,23,320.54
bore_118946,2006,11,7,320.31
bore_118946,2006,12,19,320.04
bore_118946,2007,1,17,319.92
bore_118946,2007,2,15,319.77
bore_118946,2007,3,20,319.84
bore_118946,2007,4,25,320.64
bore_118946,2007,5,22,319.68
bore_118946,2007,6,15,319.82
bore_118946,2007,7,20,320.04
bore_118946,2007,8,20,320.31
bore_118946,2007,9,28,320.4
bore_118946,2007,10,25,320.36
bore_118946,2007,11,27,320.42
bore_118946,2007,12,29,320.44
bore_118946,2008,1,29,320.21
bore_118946,2008,2,29,320.02
bore_118946,2008,3,19,319.89
bore_118946,2008,4,21,319.33
bore_118946,2008,5,16,319.8
bore_118946,2008,6,14,319.86
bore_118946,2008,7,24,319.96
bore_118946,2008,8,19,319.99
bore_118946,2008,9,21,320.09
bore_118946,2008,10,20,319.98
bore_118946,2008,11,12,319.9
bore_118946,2008,12,9,319.82
bore_118946,2009,1,14,319.78
bore_118946,2009,2,13,319.52
bore_118946,2009,3,16,319.21
bore_118946,2009,4,15,318.74
bore_118946,2009,6,24,318.85
bore_118946,2009,7,23,319.09
bore_118946,2009,8,19,319.19
bore_118946,2009,9,17,319.39
bore_118946,2009,10,19,319.49
bore_118946,2009,11,17,319.49
bore_118946,2009,12,21,319.43
bore_118946,2010,1,25,319.35
bore_118946,2010,2,23,319.24
bore_118946,2010,3,23,319.32
bore_118946,2010,4,26,319.54
bore_118946,2010,5,24,319.69
bore_118946,2010,6,21,319.69
bore_118946,2010,7,13,319.97
bore_118946,2010,8,14,320.41
bore_118946,2010,10,18,321.32
bore_118946,2010,11,12,321.47
bore_118946,2010,12,22,322.07
bore_118946,2011,1,24,321.97
bore_118946,2011,2,21,321.83
bore_118946,2011,5,18,321.74
bore_118946,2011,6,9,321.93
bore_118946,2011,6,29,316.25
bore_118946,2011,7,7,322.28
bore_118946,2011,9,21,322.45
bore_118946,2011,9,24,316.48
bore_118946,2011,9,25,321.98
bore_118946,2011,10,20,322.43
bore_118946,2011,10,26,316.54
bore_118946,2011,11,11,322.14
bore_118946,2011,12,5,322.13
bore_118946,2012,1,6,321.74
bore_118946,2012,2,14,321.25
bore_118946,2012,3,13,321.45
bore_118946,2012,4,10,321.67
bore_118946,2012,9,12,322.69
bore_118946,2012,10,5,322.6
bore_118946,2012,11,8,322.28
bore_118946,2014,10,20,321.89
bore_118946,2015,1,29,321.18
bore_118946,2015,7,25,320.63
bore_118946,2016,4,28,319.89
