"stream_ID","year","month","day","Value","q_mm","q_ML_day","q_mm_5th_root"
"FLOW_405212",1945,11,22,0.151,0.038713353115727,13.0464,0.521881807400218
"FLOW_405212",1945,11,23,0.139,0.0356367952522255,12.0096,0.513310003974229
"FLOW_405212",1945,11,24,0.139,0.0356367952522255,12.0096,0.513310003974229
"FLOW_405212",1945,11,25,0.13,0.0333293768545994,11.232,0.506483659904804
"FLOW_405212",1945,11,26,0.079,0.0202540059347181,6.8256,0.458460777495231
"FLOW_405212",1945,11,27,0.064,0.0164083086053412,5.5296,0.439554532949554
"FLOW_405212",1945,11,28,0.022,0.00564035608308605,1.9008,0.355026936104943
"FLOW_405212",1945,11,29,0.002,0.000512759643916914,0.1728,0.219777266474777
"FLOW_405212",1945,11,30,0,0,0,0
"FLOW_405212",1945,12,1,0,0,0,0
"FLOW_405212",1945,12,2,0,0,0,0
"FLOW_405212",1945,12,3,0,0,0,0
"FLOW_405212",1945,12,4,0,0,0,0
"FLOW_405212",1945,12,5,0,0,0,0
"FLOW_405212",1945,12,6,0,0,0,0
"FLOW_405212",1945,12,7,0,0,0,0
"FLOW_405212",1945,12,8,0,0,0,0
"FLOW_405212",1945,12,9,0,0,0,0
"FLOW_405212",1945,12,10,0,0,0,0
"FLOW_405212",1945,12,11,0,0,0,0
"FLOW_405212",1945,12,12,0,0,0,0
"FLOW_405212",1945,12,13,0,0,0,0
"FLOW_405212",1945,12,14,0,0,0,0
"FLOW_405212",1945,12,15,0,0,0,0
"FLOW_405212",1946,1,2,0,0,0,0
"FLOW_405212",1946,1,3,0,0,0,0
"FLOW_405212",1946,1,4,0,0,0,0
"FLOW_405212",1946,1,5,0,0,0,0
"FLOW_405212",1946,1,6,0,0,0,0
"FLOW_405212",1946,1,7,0,0,0,0
"FLOW_405212",1946,1,8,0,0,0,0
"FLOW_405212",1946,1,9,0,0,0,0
"FLOW_405212",1946,1,10,0,0,0,0
"FLOW_405212",1946,1,11,0,0,0,0
"FLOW_405212",1946,1,12,0,0,0,0
"FLOW_405212",1946,1,13,0,0,0,0
"FLOW_405212",1946,1,14,0,0,0,0
"FLOW_405212",1946,1,15,0,0,0,0
"FLOW_405212",1946,1,16,0.017,0.00435845697329377,1.4688,0.337183684959481
"FLOW_405212",1946,1,17,0.371,0.0951169139465875,32.0544,0.624671295881389
"FLOW_405212",1946,1,18,2.589,0.663767359050445,223.6896,0.921304470262239
