Bore_ID,year,month,day,Head_m
bore_2091,1975,4,7,276.72922
bore_2091,1975,4,10,277.20922
bore_2091,1975,8,22,277.72922
bore_2091,1976,4,6,277.32922
bore_2091,1976,4,8,277.62922
bore_2091,1976,6,24,277.42922
bore_2091,1976,7,19,277.22922
bore_2091,1976,8,30,277.22922
bore_2091,1976,9,15,277.17922
bore_2091,1976,10,15,277.22922
bore_2091,1976,11,15,277.17922
bore_2091,1976,12,15,277.17922
bore_2091,1977,1,15,277.32922
bore_2091,1977,2,7,277.18922
bore_2091,1977,2,15,274.82922
bore_2091,1977,2,17,277.22922
bore_2091,1977,3,15,277.12922
bore_2091,1977,4,15,277.02922
bore_2091,1977,5,15,277.02922
bore_2091,1977,6,15,277.09922
bore_2091,1977,7,15,277.02922
bore_2091,1977,8,15,276.99922
bore_2091,1977,9,15,277.02922
bore_2091,1977,10,15,277.02922
bore_2091,1977,11,15,277.07922
bore_2091,1977,12,18,277.22922
bore_2091,1978,1,15,277.17922
bore_2091,1978,2,7,274.97922
bore_2091,1978,2,9,277.32922
bore_2091,1978,3,15,277.07922
bore_2091,1978,4,15,276.97922
bore_2091,1978,5,15,277.12922
bore_2091,1978,6,15,277.12922
bore_2091,1978,7,15,277.12922
bore_2091,1978,8,15,277.62922
bore_2091,1978,9,15,277.92922
bore_2091,1978,10,15,277.96922
bore_2091,1978,11,15,277.83922
bore_2091,1978,12,15,277.77922
bore_2091,1979,1,15,277.52922
bore_2091,1979,2,14,277.49922
bore_2091,1979,3,15,277.43922
bore_2091,1979,3,29,274.55922
bore_2091,1979,4,1,277.35922
bore_2091,1979,4,15,277.36922
bore_2091,1979,5,17,277.07922
bore_2091,1979,6,15,277.07922
bore_2091,1979,7,17,277.04922
bore_2091,1979,8,15,277.02922
bore_2091,1979,9,17,277.11922
bore_2091,1979,10,16,277.42922
bore_2091,1979,11,16,277.55922
bore_2091,1979,12,17,277.50922
bore_2091,1980,1,15,277.12922
bore_2091,1980,3,6,274.67922
bore_2091,1980,3,8,277.26922
bore_2091,1980,4,15,277.07922
bore_2091,1980,5,15,276.92922
bore_2091,1980,6,20,276.82922
bore_2091,1980,7,17,276.92922
bore_2091,1980,8,18,276.82922
bore_2091,1980,9,15,277.09922
bore_2091,1980,10,15,276.97922
bore_2091,1980,11,18,277.02922
bore_2091,1980,12,15,277.07922
bore_2091,1981,1,15,277.03922
bore_2091,1981,3,16,276.92922
bore_2091,1981,4,16,276.92922
bore_2091,1981,5,14,276.72922
bore_2091,1981,6,18,276.72922
bore_2091,1981,7,15,276.92922
bore_2091,1981,8,18,277.62922
bore_2091,1981,9,16,277.92922
bore_2091,1981,10,16,278.04922
bore_2091,1981,11,17,278.12922
bore_2091,1981,12,15,277.67922
bore_2091,1982,1,19,277.52922
bore_2091,1982,1,28,273.27922
bore_2091,1982,2,2,277.57922
bore_2091,1982,2,17,277.52922
bore_2091,1982,3,16,277.35922
bore_2091,1982,4,16,277.22922
bore_2091,1982,5,18,277.12922
bore_2091,1982,6,16,277.17922
bore_2091,1982,7,20,276.97922
bore_2091,1982,8,18,276.87922
bore_2091,1982,9,18,277.12922
bore_2091,1982,10,19,277.07922
bore_2091,1982,11,15,276.92922
bore_2091,1982,12,20,276.82922
bore_2091,1983,1,14,276.82922
bore_2091,1983,2,17,274.68922
bore_2091,1983,2,19,276.72922
bore_2091,1983,3,17,276.62922
bore_2091,1983,4,15,276.57922
bore_2091,1983,5,27,276.57922
bore_2091,1983,6,17,276.42922
bore_2091,1983,7,15,276.47922
bore_2091,1983,8,16,276.77922
bore_2091,1983,9,15,277.12922
bore_2091,1983,10,17,277.42922
bore_2091,1983,11,15,277.47922
bore_2091,1983,12,15,277.27922
bore_2091,1984,1,17,277.27922
bore_2091,1984,2,16,277.17922
bore_2091,1984,2,28,275.04922
bore_2091,1984,3,1,276.04922
bore_2091,1984,4,17,276.92922
bore_2091,1984,5,23,276.82922
bore_2091,1984,6,15,276.62922
bore_2091,1984,7,18,276.52922
bore_2091,1984,8,16,276.62922
bore_2091,1984,9,17,276.72922
bore_2091,1984,10,15,276.62922
bore_2091,1984,11,20,276.64922
bore_2091,1984,12,17,276.72922
bore_2091,1985,1,15,276.62922
bore_2091,1985,2,19,273.22922
bore_2091,1985,2,21,276.53922
bore_2091,1985,3,15,276.52922
bore_2091,1985,4,15,276.52922
bore_2091,1985,5,15,276.42922
bore_2091,1985,6,18,276.42922
bore_2091,1985,8,15,276.30922
bore_2091,1985,9,16,276.35922
bore_2091,1985,10,15,276.30922
bore_2091,1985,11,15,276.32922
bore_2091,1985,12,15,276.37922
bore_2091,1986,1,15,276.34922
bore_2091,1986,2,24,273.17922
bore_2091,1986,2,28,276.32922
bore_2091,1986,4,15,276.27922
bore_2091,1986,5,15,276.24922
bore_2091,1986,6,16,276.20922
bore_2091,1986,7,14,276.16922
bore_2091,1986,8,18,276.25922
bore_2091,1986,9,15,276.32922
bore_2091,1986,10,15,276.45922
bore_2091,1986,11,15,276.72922
bore_2091,1986,12,15,276.74922
bore_2091,1987,1,15,276.77922
bore_2091,1987,2,15,276.81922
bore_2091,1987,3,18,273.82922
bore_2091,1987,3,20,276.77922
bore_2091,1987,4,15,276.59922
bore_2091,1987,5,15,276.62922
bore_2091,1987,6,16,276.52922
bore_2091,1987,8,14,276.57922
bore_2091,1987,9,15,276.60922
bore_2091,1987,10,15,276.77922
bore_2091,1987,11,15,276.79922
bore_2091,1987,12,17,276.78922
bore_2091,1988,1,21,273.02922
bore_2091,1988,1,27,276.67922
bore_2091,1988,2,15,276.74922
bore_2091,1988,3,16,276.66922
bore_2091,1988,4,14,276.67922
bore_2091,1988,5,20,265.34922
bore_2091,1988,5,24,276.67922
bore_2091,1988,6,15,276.69922
bore_2091,1988,7,18,276.56922
bore_2091,1988,8,12,276.55922
bore_2091,1988,9,15,276.79922
bore_2091,1988,10,28,276.90922
bore_2091,1988,11,16,276.99922
bore_2091,1988,12,13,276.92922
bore_2091,1989,2,15,277.02922
bore_2091,1989,3,15,277.03922
bore_2091,1989,6,22,276.99922
bore_2091,1989,8,25,277.09922
bore_2091,1989,10,17,277.42922
bore_2091,1989,11,16,277.52922
bore_2091,1989,12,15,277.42922
bore_2091,1990,2,6,277.37922
bore_2091,1990,3,22,277.42922
bore_2091,1990,5,10,277.07922
bore_2091,1990,6,28,265.02922
bore_2091,1990,7,3,277.22922
bore_2091,1990,8,14,277.20922
bore_2091,1990,9,19,277.12922
bore_2091,1990,10,24,277.04922
bore_2091,1990,11,28,277.02922
bore_2091,1991,1,29,277.22922
bore_2091,1991,2,27,277.47922
bore_2091,1991,4,18,276.87922
bore_2091,1991,6,13,265.02922
bore_2091,1991,6,17,276.87922
bore_2091,1991,8,13,276.82922
bore_2091,1991,9,26,276.67922
bore_2091,1991,10,16,276.40922
bore_2091,1991,11,12,276.51922
bore_2091,1992,1,30,276.69922
bore_2091,1992,2,27,276.92922
bore_2091,1992,3,25,276.87922
bore_2091,1992,4,23,276.72922
bore_2091,1992,5,14,276.72922
bore_2091,1992,6,12,276.72922
bore_2091,1992,6,24,265.28922
bore_2091,1992,6,30,276.70922
bore_2091,1992,8,4,276.62922
bore_2091,1992,9,3,276.67922
bore_2091,1993,3,11,276.92922
bore_2091,1993,8,12,276.77922
bore_2091,1993,9,16,276.91922
bore_2091,1993,10,25,277.25922
bore_2091,1994,1,31,277.30922
bore_2091,1994,6,2,265.12922
bore_2091,1994,6,6,277.12922
bore_2091,1994,10,19,276.92922
bore_2091,1994,11,21,276.91922
bore_2091,1995,1,11,276.71922
bore_2091,1995,5,10,276.51922
bore_2091,1995,5,15,269.12922
bore_2091,1995,5,17,276.40922
bore_2091,1995,8,28,276.63922
bore_2091,1995,9,20,276.85922
bore_2091,1995,10,16,276.72922
bore_2091,1995,11,24,276.92922
bore_2091,1995,12,12,276.88922
bore_2091,1996,1,11,276.92922
bore_2091,1996,2,7,276.85922
bore_2091,1996,3,20,276.72922
bore_2091,1996,4,29,276.61922
bore_2091,1996,5,15,268.71922
bore_2091,1996,5,20,276.51922
bore_2091,1996,6,27,276.54922
bore_2091,1996,7,16,276.46922
bore_2091,1996,8,19,276.47922
bore_2091,1996,9,11,276.52922
bore_2091,1996,11,7,276.43922
bore_2091,1996,12,13,276.44922
bore_2091,1997,1,23,277.47922
bore_2091,1997,2,26,276.50922
bore_2091,1997,3,18,276.42922
bore_2091,1997,4,9,276.36922
bore_2091,1997,5,7,276.45922
bore_2091,1997,6,10,265.78922
bore_2091,1997,6,12,276.34922
bore_2091,1997,7,2,276.28922
bore_2091,1997,8,4,276.22922
bore_2091,1997,9,12,276.19922
bore_2091,1997,10,3,276.26922
bore_2091,1997,11,10,277.25922
bore_2091,1997,12,10,276.14922
bore_2091,1998,1,20,276.12922
bore_2091,1998,2,20,276.06922
bore_2091,1998,3,4,276.07922
bore_2091,1998,4,27,275.92922
bore_2091,1998,5,12,269.49922
bore_2091,1998,5,14,275.87922
bore_2091,1998,6,10,275.87922
bore_2091,1998,7,15,275.87922
bore_2091,1998,9,2,275.87922
bore_2091,1998,9,18,275.87922
bore_2091,1998,10,20,275.84922
bore_2091,1998,11,19,275.79922
bore_2091,1998,12,16,276.80922
bore_2091,1999,1,20,275.77922
bore_2091,1999,2,12,275.72922
bore_2091,1999,3,11,275.67922
bore_2091,1999,4,13,275.59922
bore_2091,1999,5,11,275.57922
bore_2091,1999,6,8,275.42922
bore_2091,1999,6,9,270.01922
bore_2091,1999,6,10,275.62922
bore_2091,1999,7,12,275.57922
bore_2091,1999,8,13,275.62922
bore_2091,1999,9,27,275.58922
bore_2091,1999,10,13,275.69922
bore_2091,1999,11,9,275.72922
bore_2091,1999,12,15,275.41922
bore_2091,2000,1,21,275.72922
bore_2091,2000,2,9,275.62922
bore_2091,2000,3,9,275.61922
bore_2091,2000,4,11,275.55922
bore_2091,2000,5,23,275.53922
bore_2091,2000,6,5,265.62922
bore_2091,2000,6,6,275.65922
bore_2091,2000,6,7,275.54922
bore_2091,2000,7,11,275.68922
bore_2091,2000,8,25,275.78922
bore_2091,2000,9,12,275.66922
bore_2091,2000,10,12,275.64922
bore_2091,2000,11,13,275.65922
bore_2091,2000,12,11,275.78922
bore_2091,2001,1,8,275.72922
bore_2091,2001,2,11,275.73922
bore_2091,2001,3,13,275.74922
bore_2091,2001,4,26,275.74922
bore_2091,2001,5,8,275.70922
bore_2091,2001,5,28,266.02922
bore_2091,2001,5,30,275.62922
bore_2091,2001,6,25,275.66922
bore_2091,2001,7,18,275.68922
bore_2091,2001,8,22,275.77922
bore_2091,2001,9,26,275.68922
bore_2091,2001,10,8,275.71922
bore_2091,2001,11,15,275.63922
bore_2091,2001,12,10,275.69922
bore_2091,2002,1,14,275.60922
bore_2091,2002,2,13,275.57922
bore_2091,2002,3,19,275.47922
bore_2091,2002,4,15,275.41922
bore_2091,2002,5,6,275.38922
bore_2091,2002,6,18,275.52922
bore_2091,2002,6,21,265.77922
bore_2091,2002,6,24,272.94922
bore_2091,2002,7,9,275.47922
bore_2091,2002,7,31,275.40922
bore_2091,2002,9,23,275.44922
bore_2091,2002,10,16,275.42922
bore_2091,2002,11,20,275.32922
bore_2091,2002,12,18,275.30922
bore_2091,2003,1,22,275.23922
bore_2091,2003,2,20,275.18922
bore_2091,2003,3,20,275.17922
bore_2091,2003,4,28,275.01922
bore_2091,2003,5,27,275.06922
bore_2091,2003,6,12,270.32922
bore_2091,2003,6,25,274.98922
bore_2091,2003,7,28,274.96922
bore_2091,2003,8,25,275.08922
bore_2091,2003,9,25,275.14922
bore_2091,2003,10,29,275.21922
bore_2091,2003,11,26,275.07922
bore_2091,2003,12,18,275.12922
bore_2091,2004,1,21,275.15922
bore_2091,2004,2,24,275.08922
bore_2091,2004,3,29,275.08922
bore_2091,2004,4,22,275.02922
bore_2091,2004,5,25,275.05922
bore_2091,2004,6,3,273.42922
bore_2091,2004,6,5,274.17922
bore_2091,2004,6,22,274.97922
bore_2091,2004,7,22,274.90922
bore_2091,2004,8,24,274.98922
bore_2091,2004,9,21,274.92922
