Bore_ID,year,month,day,RSWL_from_SWL
bore_2092,1975,3,7,218.6252
bore_2092,1975,3,27,220.2252
bore_2092,1975,8,22,220.2152
bore_2092,1976,4,6,220.0752
bore_2092,1976,4,8,220.1752
bore_2092,1976,6,24,220.2252
bore_2092,1976,7,19,220.0752
bore_2092,1976,8,30,220.1752
bore_2092,1976,9,15,220.2752
bore_2092,1977,2,7,220.2952
bore_2092,1977,2,15,217.9252
bore_2092,1977,2,17,220.1252
bore_2092,1977,8,15,220.0752
bore_2092,1978,2,7,217.7552
bore_2092,1978,2,9,220.0352
bore_2092,1978,8,15,220.1252
bore_2092,1979,2,14,220.2752
bore_2092,1979,3,29,217.4252
bore_2092,1979,4,1,220.2252
bore_2092,1979,8,22,220.3252
bore_2092,1980,3,6,217.8952
bore_2092,1980,3,8,220.1352
bore_2092,1980,8,15,220.3752
bore_2092,1981,8,17,220.4752
bore_2092,1982,1,28,217.5252
bore_2092,1982,2,2,220.7152
bore_2092,1982,2,17,220.7752
bore_2092,1982,8,18,220.7252
bore_2092,1983,2,17,218.8752
bore_2092,1983,2,19,220.0552
bore_2092,1983,8,16,220.4752
bore_2092,1984,2,28,218.6252
bore_2092,1984,3,1,220.6752
bore_2092,1984,8,16,220.7752
bore_2092,1985,2,19,216.9752
bore_2092,1985,2,21,220.3652
bore_2092,1985,8,15,220.7752
bore_2092,1986,2,24,220.2752
bore_2092,1986,2,26,220.5252
bore_2092,1986,8,18,220.8152
bore_2092,1987,3,18,218.2752
bore_2092,1987,3,20,220.9752
bore_2092,1987,8,14,220.9052
bore_2092,1988,1,21,218.4752
bore_2092,1988,1,27,220.9052
bore_2092,1988,5,20,222.4352
bore_2092,1988,8,12,221.1252
bore_2092,1990,5,11,221.3752
bore_2092,1990,6,6,211.9752
bore_2092,1990,6,8,221.9552
bore_2092,1990,8,16,222.3252
bore_2092,1991,6,13,221.3252
bore_2092,1991,6,17,221.9752
bore_2092,1991,8,13,222.5152
bore_2092,1992,9,9,222.4552
bore_2092,1993,8,12,222.3352
bore_2092,1994,6,2,211.7752
bore_2092,1994,6,6,221.9952
bore_2092,1995,5,10,221.7652
bore_2092,1995,5,15,221.6752
bore_2092,1996,2,7,222.2052
bore_2092,1996,5,15,210.8752
bore_2092,1996,5,20,221.8152
bore_2092,1996,8,30,221.9352
bore_2092,1997,2,26,222.1752
bore_2092,1997,6,10,210.6652
bore_2092,1997,6,12,221.7552
bore_2092,1997,8,4,221.7752
bore_2092,1998,2,20,221.7752
bore_2092,1998,5,12,210.6352
bore_2092,1998,5,14,221.4052
bore_2092,1998,9,2,221.4752
bore_2092,1998,12,16,221.3952
bore_2092,1999,1,20,221.4752
bore_2092,1999,2,12,221.4752
bore_2092,1999,6,9,213.3252
bore_2092,1999,6,10,221.1652
bore_2092,1999,8,13,221.2152
bore_2092,2000,2,9,221.4152
bore_2092,2000,6,5,221.2352
bore_2092,2000,8,24,221.1952
bore_2092,2001,2,12,221.4252
bore_2092,2001,5,28,212.7252
bore_2092,2001,5,30,221.0952
bore_2092,2001,8,22,221.1152
bore_2092,2002,2,13,221.0352
bore_2092,2002,6,20,211.5552
bore_2092,2002,6,21,217.2252
bore_2092,2002,7,30,220.6952
bore_2092,2003,2,20,220.5552
bore_2092,2003,6,12,215.3752
bore_2092,2003,6,14,218.1752
bore_2092,2003,8,25,220.7452
bore_2092,2004,2,24,220.8052
bore_2092,2004,6,3,219.3252
bore_2092,2004,6,5,219.7752
bore_2092,2004,8,24,220.6752
bore_2092,2005,2,23,220.8152
bore_2092,2005,6,1,219.5752
bore_2092,2005,6,2,220.3752
bore_2092,2005,8,23,220.5952
bore_2092,2006,2,23,220.7452
bore_2092,2006,5,23,218.0252
bore_2092,2006,5,25,222.1752
bore_2092,2006,8,22,220.4452
bore_2092,2007,2,27,220.1952
bore_2092,2007,8,28,220.0052
bore_2092,2008,2,26,219.9552
bore_2092,2008,7,4,211.2952
bore_2092,2008,7,15,219.7452
bore_2092,2008,8,25,219.7852
bore_2092,2009,2,18,219.7252
bore_2092,2009,6,16,211.0152
bore_2092,2009,6,29,219.5552
bore_2092,2009,8,25,219.5652
bore_2092,2010,2,25,219.4352
bore_2092,2010,8,26,219.4852
bore_2092,2011,2,22,220.2552
bore_2092,2011,8,29,220.1552
bore_2092,2012,2,22,220.0852
bore_2092,2012,6,6,211.7752
bore_2092,2012,6,18,220.0752
bore_2092,2012,8,23,220.1652
bore_2092,2013,2,19,220.0352
