Bore_ID,year,month,day,RSWL_from_SWL
bore_WRK958156,2002,7,2,243.5
bore_WRK958156,2002,8,7,243.28
bore_WRK958156,2002,8,14,243.24
bore_WRK958156,2002,9,17,242.99
bore_WRK958156,2002,10,29,242.69
bore_WRK958156,2002,11,29,242.38
bore_WRK958156,2002,12,30,242.15
bore_WRK958156,2003,1,30,242.03
bore_WRK958156,2003,2,27,241.82
bore_WRK958156,2003,3,27,241.6
bore_WRK958156,2003,4,28,241.46
bore_WRK958156,2003,5,29,241.53
bore_WRK958156,2003,6,23,241.68
bore_WRK958156,2003,7,28,241.82
bore_WRK958156,2003,8,26,241.98
bore_WRK958156,2003,11,18,241.23
bore_WRK958156,2004,5,4,241.06
bore_WRK958156,2004,6,7,241.05
bore_WRK958156,2004,7,2,241.13
bore_WRK958156,2004,10,4,241.61
bore_WRK958156,2004,11,8,241.6
bore_WRK958156,2004,12,5,241.64
bore_WRK958156,2005,1,10,241.19
bore_WRK958156,2005,2,4,241.16
bore_WRK958156,2005,3,23,241.09
bore_WRK958156,2005,4,28,240.98
bore_WRK958156,2005,5,12,240.86
bore_WRK958156,2005,6,6,240.8
bore_WRK958156,2005,9,21,240.75
bore_WRK958156,2006,6,29,240.83
bore_WRK958156,2006,7,24,240.81
bore_WRK958156,2006,8,28,240.73
bore_WRK958156,2006,9,15,240.68
bore_WRK958156,2006,10,31,240.61
bore_WRK958156,2006,11,29,240.56
bore_WRK958156,2007,1,8,239.46
bore_WRK958156,2007,4,18,240.35
bore_WRK958156,2007,6,18,240.15
bore_WRK958156,2007,9,24,240.38
bore_WRK958156,2007,11,20,240
bore_WRK958156,2008,1,8,239.46
bore_WRK958156,2008,3,9,239.29
bore_WRK958156,2008,4,7,239.26
bore_WRK958156,2008,6,17,239.25
bore_WRK958156,2008,9,23,239.3
bore_WRK958156,2009,1,9,239.29
bore_WRK958156,2009,2,5,239.07
bore_WRK958156,2009,3,5,238.91
bore_WRK958156,2009,4,2,238.79
bore_WRK958156,2009,5,1,238.66
bore_WRK958156,2009,6,3,238.61
bore_WRK958156,2009,7,8,238.61
bore_WRK958156,2009,8,5,238.72
bore_WRK958156,2009,9,8,238.87
bore_WRK958156,2009,10,14,238.67
bore_WRK958156,2009,11,11,238.63
bore_WRK958156,2009,12,9,238.47
bore_WRK958156,2010,1,13,238.24
bore_WRK958156,2010,2,10,238.12
bore_WRK958156,2010,3,10,237.99
bore_WRK958156,2010,4,7,238.02
bore_WRK958156,2010,5,5,238.01
bore_WRK958156,2010,6,17,238.12
bore_WRK958156,2010,7,7,238.28
bore_WRK958156,2010,8,4,238.5
bore_WRK958156,2010,9,8,238.81
bore_WRK958156,2010,10,6,239.08
bore_WRK958156,2010,11,3,239.21
bore_WRK958156,2010,12,1,239.4
bore_WRK958156,2011,2,4,240.44
bore_WRK958156,2011,3,2,240.74
bore_WRK958156,2011,4,6,240.92
bore_WRK958156,2011,5,4,241.14
bore_WRK958156,2011,6,1,241.34
bore_WRK958156,2011,7,13,241.7
bore_WRK958156,2011,8,14,241.94
bore_WRK958156,2011,9,16,242.34
bore_WRK958156,2011,10,16,242.55
bore_WRK958156,2011,11,16,242.64
bore_WRK958156,2011,12,15,242.9
bore_WRK958156,2012,1,9,242.29
bore_WRK958156,2012,2,8,241.52
bore_WRK958156,2012,3,2,241.4
bore_WRK958156,2012,4,11,242.25
