stream_ID,year,month,day,Value
flow_236212,1975,1,24,0.226
flow_236212,1975,1,25,0.223
flow_236212,1975,1,26,0.231
flow_236212,1975,1,27,0.28
flow_236212,1975,1,28,0.262
flow_236212,1975,1,29,0.243
flow_236212,1975,1,30,0.218
flow_236212,1975,1,31,0.189
flow_236212,1975,2,1,0.181
flow_236212,1975,2,2,0.17
flow_236212,1975,2,3,0.191
flow_236212,1975,2,4,0.19
flow_236212,1975,2,5,0.178
flow_236212,1975,2,6,0.173
flow_236212,1975,2,7,0.159
flow_236212,1975,2,8,0.143
flow_236212,1975,2,9,0.166
flow_236212,1975,2,10,0.159
flow_236212,1975,2,11,0.133
flow_236212,1975,2,12,0.137
flow_236212,1975,2,13,0.157
flow_236212,1975,2,14,0.152
flow_236212,1975,2,15,0.139
flow_236212,1975,2,16,0.156
flow_236212,1975,2,17,0.169
flow_236212,1975,2,18,0.135
flow_236212,1975,2,19,0.133
flow_236212,1975,2,20,0.139
flow_236212,1975,2,21,0.125
flow_236212,1975,2,22,0.136
flow_236212,1975,2,23,0.138
flow_236212,1975,2,24,0.137
flow_236212,1975,2,25,0.119
flow_236212,1975,2,26,0.114
flow_236212,1975,2,27,0.127
flow_236212,1975,2,28,0.13
flow_236212,1975,3,1,0.123
flow_236212,1975,3,2,0.134
flow_236212,1975,3,3,0.143
flow_236212,1975,3,4,0.127
flow_236212,1975,3,5,0.123
flow_236212,1975,3,6,0.125
flow_236212,1975,3,7,0.133
flow_236212,1975,3,8,0.136
flow_236212,1975,3,9,0.164
flow_236212,1975,3,10,0.175
flow_236212,1975,3,11,0.155
flow_236212,1975,3,12,0.15
flow_236212,1975,3,13,0.147
flow_236212,1975,3,14,0.161
flow_236212,1975,3,15,0.164
flow_236212,1975,3,16,0.216
flow_236212,1975,3,17,0.225
flow_236212,1975,3,18,0.204
flow_236212,1975,3,19,0.219
flow_236212,1975,3,20,0.262
flow_236212,1975,3,21,0.324
flow_236212,1975,3,22,0.29
flow_236212,1975,3,23,0.271
flow_236212,1975,3,24,0.263
flow_236212,1975,3,25,0.258
flow_236212,1975,3,26,0.254
flow_236212,1975,3,27,0.253
flow_236212,1975,3,28,0.249
flow_236212,1975,3,29,0.249
flow_236212,1975,3,30,0.255
flow_236212,1975,3,31,0.282
flow_236212,1975,4,1,0.316
flow_236212,1975,4,2,0.31
flow_236212,1975,4,3,0.302
flow_236212,1975,4,4,0.282
flow_236212,1975,4,5,0.277
flow_236212,1975,4,6,0.296
flow_236212,1975,4,7,0.318
flow_236212,1975,4,8,0.295
flow_236212,1975,4,9,0.28
flow_236212,1975,4,10,0.268
flow_236212,1975,4,11,0.261
flow_236212,1975,4,12,0.255
flow_236212,1975,4,13,0.253
flow_236212,1975,4,14,0.251
flow_236212,1975,4,15,0.259
flow_236212,1975,4,16,0.257
flow_236212,1975,4,17,0.253
flow_236212,1975,4,18,0.253
flow_236212,1975,4,19,0.256
flow_236212,1975,4,20,0.258
flow_236212,1975,4,21,0.257
flow_236212,1975,4,22,0.257
flow_236212,1975,4,23,0.256
flow_236212,1975,4,24,0.255
flow_236212,1975,4,25,0.252
flow_236212,1975,4,26,0.251
flow_236212,1975,4,27,0.247
flow_236212,1975,4,28,0.251
flow_236212,1975,4,29,0.259
flow_236212,1975,4,30,0.259
flow_236212,1975,5,1,0.259
flow_236212,1975,5,2,0.259
flow_236212,1975,5,3,0.256
flow_236212,1975,5,4,0.256
flow_236212,1975,5,5,0.293
flow_236212,1975,5,6,0.292
flow_236212,1975,5,7,0.279
flow_236212,1975,5,8,0.291
flow_236212,1975,5,9,0.29
flow_236212,1975,5,10,0.29
flow_236212,1975,5,11,0.294
flow_236212,1975,5,12,0.289
flow_236212,1975,5,13,0.29
flow_236212,1975,5,14,0.39
flow_236212,1975,5,15,0.368
flow_236212,1975,5,16,0.348
flow_236212,1975,5,17,0.49
flow_236212,1975,5,18,0.459
flow_236212,1975,5,19,0.358
flow_236212,1975,5,20,0.307
flow_236212,1975,5,21,0.287
flow_236212,1975,5,22,0.277
flow_236212,1975,5,23,0.269
flow_236212,1975,5,24,0.264
flow_236212,1975,5,25,0.287
flow_236212,1975,5,26,0.393
flow_236212,1975,5,27,0.397
flow_236212,1975,5,28,0.324
flow_236212,1975,5,29,0.301
flow_236212,1975,5,30,0.286
flow_236212,1975,5,31,0.28
flow_236212,1975,6,1,0.299
flow_236212,1975,6,2,0.313
flow_236212,1975,6,3,0.304
flow_236212,1975,6,4,0.313
flow_236212,1975,6,5,0.63
flow_236212,1975,6,6,0.562
flow_236212,1975,6,7,0.477
flow_236212,1975,6,8,0.415
flow_236212,1975,6,9,0.372
flow_236212,1975,6,10,0.348
flow_236212,1975,6,11,0.347
flow_236212,1975,6,12,0.379
flow_236212,1975,6,13,0.401
flow_236212,1975,6,14,0.432
flow_236212,1975,6,15,0.42
flow_236212,1975,6,16,0.385
flow_236212,1975,6,17,0.358
flow_236212,1975,6,18,0.34
flow_236212,1975,6,19,0.326
flow_236212,1975,6,20,0.322
flow_236212,1975,6,21,0.319
flow_236212,1975,6,22,0.312
flow_236212,1975,6,23,0.309
flow_236212,1975,6,24,0.309
flow_236212,1975,6,25,0.309
flow_236212,1975,6,26,0.304
flow_236212,1975,6,27,0.305
flow_236212,1975,6,28,0.322
flow_236212,1975,6,29,0.328
flow_236212,1975,6,30,0.322
flow_236212,1975,7,1,0.323
flow_236212,1975,7,2,0.319
flow_236212,1975,7,3,0.309
flow_236212,1975,7,4,0.308
flow_236212,1975,7,5,0.667
flow_236212,1975,7,6,1.741
flow_236212,1975,7,7,1.615
flow_236212,1975,7,8,2.183
flow_236212,1975,7,9,1.873
flow_236212,1975,7,10,1.137
flow_236212,1975,7,11,0.805
flow_236212,1975,7,12,0.717
flow_236212,1975,7,13,1.405
flow_236212,1975,7,14,2.758
flow_236212,1975,7,15,4.817
flow_236212,1975,7,16,6.112
flow_236212,1975,7,17,3.286
flow_236212,1975,7,18,1.884
flow_236212,1975,7,19,1.177
flow_236212,1975,7,20,2.353
flow_236212,1975,7,21,3.572
flow_236212,1975,7,22,1.909
flow_236212,1975,7,23,1.2
flow_236212,1975,7,24,0.905
flow_236212,1975,7,25,0.875
flow_236212,1975,7,26,0.912
flow_236212,1975,7,27,0.718
flow_236212,1975,7,28,0.572
flow_236212,1975,7,29,0.963
flow_236212,1975,7,30,1.892
flow_236212,1975,7,31,7.182
flow_236212,1975,8,1,8.445
