BoreID,Year,Month,Day,Hour,Minute,Obs_Head 
bore_2091,1975,4,7,0,0,     276.729 
bore_2091,1975,4,10,0,0,     277.209 
bore_2091,1975,8,22,0,0,     277.729 
bore_2091,1976,4,6,0,0,     277.329 
bore_2091,1976,4,8,0,0,     277.629 
bore_2091,1976,6,24,0,0,     277.429 
bore_2091,1976,7,19,0,0,     277.229 
bore_2091,1976,8,30,0,0,     277.229 
bore_2091,1976,9,15,0,0,     277.179 
bore_2091,1976,10,15,0,0,     277.229 
bore_2091,1976,11,15,0,0,     277.179 
bore_2091,1976,12,15,0,0,     277.179 
bore_2091,1977,1,15,0,0,     277.329 
bore_2091,1977,2,7,0,0,     277.189 
bore_2091,1977,2,17,0,0,     277.229 
bore_2091,1977,3,15,0,0,     277.129 
bore_2091,1977,4,15,0,0,     277.029 
bore_2091,1977,5,15,0,0,     277.029 
bore_2091,1977,6,15,0,0,     277.099 
bore_2091,1977,7,15,0,0,     277.029 
bore_2091,1977,8,15,0,0,     276.999 
bore_2091,1977,9,15,0,0,     277.029 
bore_2091,1977,10,15,0,0,     277.029 
bore_2091,1977,11,15,0,0,     277.079 
bore_2091,1977,12,18,0,0,     277.229 
bore_2091,1978,1,15,0,0,     277.179 
bore_2091,1978,2,9,0,0,     277.329 
bore_2091,1978,3,15,0,0,     277.079 
bore_2091,1978,4,15,0,0,     276.979 
bore_2091,1978,5,15,0,0,     277.129 
bore_2091,1978,6,15,0,0,     277.129 
bore_2091,1978,7,15,0,0,     277.129 
bore_2091,1978,8,15,0,0,     277.629 
bore_2091,1978,9,15,0,0,     277.929 
bore_2091,1978,10,15,0,0,     277.969 
bore_2091,1978,11,15,0,0,     277.839 
bore_2091,1978,12,15,0,0,     277.779 
bore_2091,1979,1,15,0,0,     277.529 
bore_2091,1979,2,14,0,0,     277.499 
bore_2091,1979,3,15,0,0,     277.439 
bore_2091,1979,4,1,0,0,     277.359 
bore_2091,1979,4,15,0,0,     277.369 
bore_2091,1979,5,17,0,0,     277.079 
bore_2091,1979,6,15,0,0,     277.079 
bore_2091,1979,7,17,0,0,     277.049 
bore_2091,1979,8,15,0,0,     277.029 
bore_2091,1979,9,17,0,0,     277.119 
bore_2091,1979,10,16,0,0,     277.429 
bore_2091,1979,11,16,0,0,     277.559 
bore_2091,1979,12,17,0,0,     277.509 
bore_2091,1980,1,15,0,0,     277.129 
